>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end
rm: cannot remove 'res1.txt': No such file or directory
>> Csmith, 24, checksum = E41C6A11, checksum = E41C6A11,  * Seed:      3752432292, 250359, 21:10:43, 21:10:48, 21:10:43, 21:10:47, 21:10:47, 21:10:48, 21:10:47, 21:10:47, 21:10:47, 21:10:47, 21:10:48, 21:10:48
>> Csmith, 25, checksum = C34EB676, checksum = C34EB676,  * Seed:      1662813584, 54429, 21:10:48, 21:10:50, 21:10:48, 21:10:49, 21:10:49, 21:10:50, 21:10:49, 21:10:49, 21:10:49, 21:10:49, 21:10:50, 21:10:50
>> Csmith, 26, checksum = 4D79D474, checksum = 4D79D474,  * Seed:      286574988, 138169, 21:10:50, 21:10:54, 21:10:50, 21:10:53, 21:10:53, 21:10:54, 21:10:53, 21:10:54, 21:10:54, 21:10:54, 21:10:54, 21:10:54
>> Csmith, 27, checksum = 9D99326C, checksum = 9D99326C,  * Seed:      422679576, 99227, 21:10:54, 21:10:56, 21:10:54, 21:10:56, 21:10:56, 21:10:56, 21:10:56, 21:10:56, 21:10:56, 21:10:56, 21:10:56, 21:10:56
>> Csmith, 28, , ,  * Seed:      1149628480, 186262, 21:10:56, 21:11:10, 21:10:56, 21:11:00, 21:11:00, 21:11:10, 21:11:00, 21:11:00, 21:11:10, 21:11:10, 21:11:10, 21:11:10
>> Csmith, 29, checksum = 42E3AD97, checksum = 42E3AD97,  * Seed:      3385425084, 3933, 21:11:10, 21:11:11, 21:11:10, 21:11:10, 21:11:10, 21:11:11, 21:11:10, 21:11:11, 21:11:11, 21:11:11, 21:11:11, 21:11:11
>> Csmith, 30, checksum = CEBA5350, checksum = CEBA5350,  * Seed:      4195639204, 202384, 21:11:11, 21:11:17, 21:11:11, 21:11:16, 21:11:16, 21:11:17, 21:11:16, 21:11:16, 21:11:16, 21:11:16, 21:11:17, 21:11:17
>> Csmith, 31, checksum = A423B360, checksum = A423B360,  * Seed:      3519974516, 157234, 21:11:17, 21:11:21, 21:11:17, 21:11:21, 21:11:21, 21:11:21, 21:11:21, 21:11:21, 21:11:21, 21:11:21, 21:11:21, 21:11:21
>> Csmith, 32, checksum = F26699E4, checksum = F26699E4,  * Seed:      3854782344, 132452, 21:11:21, 21:11:29, 21:11:21, 21:11:27, 21:11:27, 21:11:29, 21:11:27, 21:11:28, 21:11:28, 21:11:28, 21:11:29, 21:11:29
>> Csmith, 33, checksum = C5B8BC5, checksum = C5B8BC5,  * Seed:      1939682540, 3322, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29, 21:11:29
>> Csmith, 34, checksum = AD482ACD, checksum = AD482ACD,  * Seed:      2524261120, 97117, 21:11:29, 21:11:32, 21:11:29, 21:11:31, 21:11:31, 21:11:32, 21:11:31, 21:11:32, 21:11:32, 21:11:32, 21:11:32, 21:11:32
>> Csmith, 35, checksum = 97173D19, checksum = 97173D19,  * Seed:      3630734604, 147538, 21:11:32, 21:11:34, 21:11:32, 21:11:34, 21:11:34, 21:11:34, 21:11:34, 21:11:34, 21:11:34, 21:11:34, 21:11:34, 21:11:34
>> Csmith, 36, , ,  * Seed:      3972454528, 266310, 21:11:34, 21:11:54, 21:11:34, 21:11:43, 21:11:43, 21:11:54, 21:11:43, 21:11:44, 21:11:54, 21:11:54, 21:11:54, 21:11:54
>> Csmith, 37, checksum = 27AD918A, checksum = 27AD918A,  * Seed:      957539328, 70871, 21:11:54, 21:11:56, 21:11:54, 21:11:55, 21:11:55, 21:11:56, 21:11:55, 21:11:55, 21:11:55, 21:11:55, 21:11:56, 21:11:56
>> Csmith, 38, checksum = 906B71BE, checksum = 906B71BE,  * Seed:      3733452768, 5325, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56, 21:11:56
>> Csmith, 39, checksum = 6011E99A, checksum = 6011E99A,  * Seed:      33975212, 147511, 21:11:56, 21:12:00, 21:11:56, 21:11:59, 21:11:59, 21:12:00, 21:11:59, 21:12:00, 21:12:00, 21:12:00, 21:12:00, 21:12:00
>> Csmith, 40, checksum = 9A2A1478, checksum = 9A2A1478,  * Seed:      23428160, 3295, 21:12:00, 21:12:01, 21:12:00, 21:12:00, 21:12:00, 21:12:01, 21:12:00, 21:12:00, 21:12:00, 21:12:00, 21:12:01, 21:12:01
>> Csmith, 41, checksum = 809C011C, checksum = 809C011C,  * Seed:      658843480, 144221, 21:12:01, 21:12:04, 21:12:01, 21:12:04, 21:12:04, 21:12:04, 21:12:04, 21:12:04, 21:12:04, 21:12:04, 21:12:04, 21:12:04
>> Csmith, 42, checksum = E89B19CA, checksum = E89B19CA,  * Seed:      4129361024, 75289, 21:12:04, 21:12:07, 21:12:04, 21:12:06, 21:12:06, 21:12:07, 21:12:06, 21:12:06, 21:12:06, 21:12:06, 21:12:07, 21:12:07
>> Csmith, 43, checksum = 653D82FF, checksum = 653D82FF,  * Seed:      4096176328, 88345, 21:12:07, 21:12:11, 21:12:07, 21:12:10, 21:12:10, 21:12:11, 21:12:10, 21:12:11, 21:12:11, 21:12:11, 21:12:11, 21:12:11
>> Csmith, 44, checksum = 61669C1A, checksum = 61669C1A,  * Seed:      796293440, 4655, 21:12:11, 21:12:12, 21:12:11, 21:12:11, 21:12:11, 21:12:12, 21:12:11, 21:12:12, 21:12:12, 21:12:12, 21:12:12, 21:12:12
>> Csmith, 45, checksum = A1F916, checksum = A1F916,  * Seed:      1386607040, 94432, 21:12:12, 21:12:13, 21:12:12, 21:12:12, 21:12:12, 21:12:13, 21:12:12, 21:12:13, 21:12:13, 21:12:13, 21:12:13, 21:12:13
>> Csmith, 46, checksum = DBAD0F12, checksum = DBAD0F12,  * Seed:      176130564, 126720, 21:12:13, 21:12:18, 21:12:13, 21:12:17, 21:12:17, 21:12:18, 21:12:17, 21:12:18, 21:12:18, 21:12:18, 21:12:18, 21:12:18
>> Csmith, 47, , ,  * Seed:      1693782872, 126885, 21:12:18, 21:12:31, 21:12:18, 21:12:21, 21:12:21, 21:12:31, 21:12:21, 21:12:21, 21:12:31, 21:12:31, 21:12:31, 21:12:31
>> Csmith, 48, checksum = 7806838A, checksum = 7806838A,  * Seed:      1743162436, 140045, 21:12:31, 21:12:38, 21:12:31, 21:12:37, 21:12:37, 21:12:38, 21:12:37, 21:12:38, 21:12:38, 21:12:38, 21:12:38, 21:12:38
