>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 9558, checksum = FB88BF08, checksum = FB88BF08,  * Seed:      3833547259, 169544, 16:56:44, 16:56:47, 16:56:44, 16:56:46, 16:56:46, 16:56:47, 16:56:46, 16:56:46, 16:56:46, 16:56:46, 16:56:47, 16:56:47, 1
>> Csmith, 9559, checksum = 8E0E5224, checksum = 8E0E5224,  * Seed:      3648241967, 40065, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 16:56:47, 1
>> Csmith, 9560, checksum = 37BBB605, checksum = 37BBB605,  * Seed:      950504254, 136573, 16:56:47, 16:56:49, 16:56:47, 16:56:48, 16:56:48, 16:56:49, 16:56:48, 16:56:49, 16:56:49, 16:56:49, 16:56:49, 16:56:49, 1
>> Csmith, 9561, checksum = 80A57C63, checksum = 80A57C63,  * Seed:      3512438433, 288083, 16:56:49, 16:57:00, 16:56:49, 16:56:57, 16:56:57, 16:57:00, 16:56:57, 16:56:58, 16:56:58, 16:56:58, 16:57:00, 16:57:00, 1
>> Csmith, 9562, checksum = 7DCEBFD6, checksum = 7DCEBFD6,  * Seed:      3909440711, 137547, 16:57:00, 16:57:02, 16:57:00, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 16:57:02, 1
>> Csmith, 9563, checksum = 63F6FCD3, checksum = 63F6FCD3,  * Seed:      3639252261, 59905, 16:57:02, 16:57:04, 16:57:02, 16:57:03, 16:57:03, 16:57:04, 16:57:03, 16:57:04, 16:57:04, 16:57:04, 16:57:04, 16:57:04, 1
>> Csmith, 9564, checksum = 6F1CF74C, checksum = 6F1CF74C,  * Seed:      4145889716, 150704, 16:57:04, 16:57:07, 16:57:04, 16:57:06, 16:57:06, 16:57:07, 16:57:06, 16:57:06, 16:57:06, 16:57:06, 16:57:07, 16:57:07, 1
>> Csmith, 9565, checksum = C308899F, checksum = C308899F,  * Seed:      3892776201, 64877, 16:57:07, 16:57:08, 16:57:07, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 16:57:08, 1
>> Csmith, 9566, , ,  * Seed:      699163390, 174187, 16:57:08, 16:58:01, 16:57:08, 16:57:10, 16:57:10, 16:58:01, 16:57:10, 16:57:11, 16:58:01, 16:58:01, 16:58:01, 16:58:01, 0
>> Csmith, 9567, checksum = 846F7294, checksum = 846F7294,  * Seed:      3479777239, 181545, 16:58:01, 16:58:04, 16:58:01, 16:58:03, 16:58:03, 16:58:04, 16:58:03, 16:58:03, 16:58:03, 16:58:03, 16:58:04, 16:58:04, 1
>> Csmith, 9568, checksum = 2BBF2009, checksum = 2BBF2009,  * Seed:      3055636253, 230614, 16:58:04, 16:58:09, 16:58:04, 16:58:08, 16:58:08, 16:58:09, 16:58:08, 16:58:09, 16:58:09, 16:58:09, 16:58:09, 16:58:09, 1
>> Csmith, 9569, checksum = D8D09EB5, checksum = D8D09EB5,  * Seed:      1286482609, 152409, 16:58:09, 16:58:14, 16:58:09, 16:58:13, 16:58:13, 16:58:14, 16:58:13, 16:58:13, 16:58:13, 16:58:13, 16:58:14, 16:58:14, 1
>> Csmith, 9570, checksum = 6E602488, checksum = 6E602488,  * Seed:      3445776859, 6042, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 1
>> Csmith, 9571, checksum = 550CA0F6, checksum = 550CA0F6,  * Seed:      4084354228, 3703, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 16:58:14, 1
