>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = AD170506, checksum = AD170506,  * Seed:      4269755090, 2887, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 00:33:18, 1
>> Csmith, 2, checksum = D74A49AC, checksum = D74A49AC,  * Seed:      737626219, 305983, 00:33:18, 00:33:25, 00:33:18, 00:33:22, 00:33:22, 00:33:25, 00:33:22, 00:33:23, 00:33:23, 00:33:23, 00:33:25, 00:33:25, 1
>> Csmith, 3, checksum = 3AC1371B, checksum = 3AC1371B,  * Seed:      2977981521, 3584, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 1
>> Csmith, 4, checksum = A6298417, checksum = A6298417,  * Seed:      3928687932, 2851, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 00:33:25, 1
>> Csmith, 5, checksum = BE6A1416, checksum = BE6A1416,  * Seed:      300448046, 135863, 00:33:25, 00:33:28, 00:33:25, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 1
>> Csmith, 6, checksum = DE3ACBAC, checksum = DE3ACBAC,  * Seed:      1775172720, 112279, 00:33:28, 00:33:32, 00:33:28, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 00:33:32, 1
>> Csmith, 7, , ,  * Seed:      62590479, 150803, 00:33:32, 00:34:25, 00:33:32, 00:33:34, 00:33:34, 00:34:25, 00:33:34, 00:33:35, 00:34:25, 00:34:25, 00:34:25, 00:34:25, 0
>> Csmith, 8, , ,  * Seed:      3156122460, 71669, 00:34:25, 00:35:16, 00:34:25, 00:34:26, 00:34:26, 00:35:16, 00:34:26, 00:34:26, 00:35:16, 00:35:16, 00:35:16, 00:35:16, 0
>> Csmith, 9, checksum = 51BC8649, checksum = 51BC8649,  * Seed:      2142812397, 189525, 00:35:16, 00:35:21, 00:35:16, 00:35:20, 00:35:20, 00:35:21, 00:35:20, 00:35:21, 00:35:21, 00:35:21, 00:35:21, 00:35:21, 1
>> Csmith, 10, checksum = E31DA360, checksum = E31DA360,  * Seed:      93973409, 152101, 00:35:21, 00:35:25, 00:35:21, 00:35:24, 00:35:24, 00:35:25, 00:35:24, 00:35:25, 00:35:25, 00:35:25, 00:35:25, 00:35:25, 1
>> Csmith, 11, checksum = 24D022E6, checksum = 24D022E6,  * Seed:      2943936765, 123068, 00:35:25, 00:35:27, 00:35:25, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 1
>> Csmith, 12, checksum = 7BD5C66F, checksum = 7BD5C66F,  * Seed:      1551840934, 3853, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 00:35:27, 1
>> Csmith, 13, checksum = 1C8B9483, checksum = 1C8B9483,  * Seed:      2211404767, 91977, 00:35:27, 00:35:30, 00:35:27, 00:35:29, 00:35:29, 00:35:30, 00:35:29, 00:35:29, 00:35:29, 00:35:29, 00:35:30, 00:35:30, 1
>> Csmith, 14, checksum = D3F5B401, checksum = D3F5B401,  * Seed:      4217121453, 177932, 00:35:30, 00:35:35, 00:35:30, 00:35:34, 00:35:34, 00:35:35, 00:35:34, 00:35:34, 00:35:35, 00:35:35, 00:35:35, 00:35:35, 1
>> Csmith, 15, checksum = 64BDCAEC, checksum = 64BDCAEC,  * Seed:      3682514666, 55855, 00:35:35, 00:35:36, 00:35:35, 00:35:35, 00:35:35, 00:35:36, 00:35:35, 00:35:36, 00:35:36, 00:35:36, 00:35:36, 00:35:36, 1
>> Csmith, 16, checksum = AC48C084, checksum = AC48C084,  * Seed:      2521251931, 80735, 00:35:36, 00:35:37, 00:35:36, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 00:35:37, 1
>> Csmith, 17, checksum = C5AD5448, checksum = C5AD5448,  * Seed:      2253086544, 227492, 00:35:37, 00:35:44, 00:35:37, 00:35:42, 00:35:42, 00:35:44, 00:35:42, 00:35:43, 00:35:43, 00:35:43, 00:35:44, 00:35:44, 1
>> Csmith, 18, checksum = DEA89DD5, checksum = DEA89DD5,  * Seed:      4058790221, 111617, 00:35:44, 00:35:47, 00:35:44, 00:35:46, 00:35:46, 00:35:47, 00:35:46, 00:35:46, 00:35:46, 00:35:46, 00:35:47, 00:35:47, 1
>> Csmith, 19, checksum = 0, checksum = 0,  * Seed:      611763707, 2240, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 00:35:47, 1
