>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, , ,  * Seed:      2969448331, 21215, 16:56:45, 16:57:36, 16:56:45, 16:56:45, 16:56:45, 16:57:36, 16:56:45, 16:56:45, 16:57:36, 16:57:36, 16:57:36, 16:57:36, 0
>> Csmith, 2, checksum = 65D2130B, checksum = 65D2130B,  * Seed:      4023252479, 59797, 16:57:36, 16:57:37, 16:57:36, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 16:57:37, 1
>> Csmith, 3, checksum = F9EF7BA5, checksum = F9EF7BA5,  * Seed:      349060140, 144587, 16:57:37, 16:57:40, 16:57:37, 16:57:39, 16:57:39, 16:57:40, 16:57:39, 16:57:40, 16:57:40, 16:57:40, 16:57:40, 16:57:40, 1
>> Csmith, 4, checksum = CE4CDF3E, checksum = CE4CDF3E,  * Seed:      602449705, 155932, 16:57:40, 16:57:43, 16:57:40, 16:57:42, 16:57:42, 16:57:43, 16:57:42, 16:57:43, 16:57:43, 16:57:43, 16:57:43, 16:57:43, 1
>> Csmith, 5, checksum = 8C7331C, checksum = 8C7331C,  * Seed:      1168551428, 85016, 16:57:43, 16:57:44, 16:57:43, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 1
>> Csmith, 6, checksum = 0, checksum = 0,  * Seed:      4292914583, 2322, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 16:57:44, 1
>> Csmith, 7, , ,  * Seed:      573867658, 216997, 16:57:44, 16:58:38, 16:57:44, 16:57:47, 16:57:47, 16:58:38, 16:57:47, 16:57:48, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 0
>> Csmith, 8, checksum = 8FE8EE9E, checksum = 8FE8EE9E,  * Seed:      1522245501, 3098, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 1
>> Csmith, 9, checksum = 0, checksum = 0,  * Seed:      2351393745, 4134, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 16:58:38, 1
>> Csmith, 10, checksum = 62F955DD, checksum = 62F955DD,  * Seed:      2926149996, 202692, 16:58:38, 16:58:41, 16:58:38, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 16:58:41, 1
>> Csmith, 11, checksum = C7E13A12, checksum = C7E13A12,  * Seed:      3669756667, 146762, 16:58:41, 16:58:46, 16:58:41, 16:58:45, 16:58:45, 16:58:46, 16:58:45, 16:58:45, 16:58:45, 16:58:45, 16:58:46, 16:58:46, 1
>> Csmith, 12, checksum = E57EF0F6, checksum = E57EF0F6,  * Seed:      11784429, 138231, 16:58:46, 16:58:48, 16:58:46, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 16:58:48, 1
>> Csmith, 13, checksum = 7D6CF8E9, checksum = 7D6CF8E9,  * Seed:      3677504849, 236582, 16:58:48, 16:58:56, 16:58:48, 16:58:54, 16:58:54, 16:58:56, 16:58:54, 16:58:55, 16:58:55, 16:58:55, 16:58:56, 16:58:56, 1
>> Csmith, 14, checksum = A9B047AE, checksum = A9B047AE,  * Seed:      52073321, 82817, 16:58:56, 16:58:58, 16:58:56, 16:58:57, 16:58:57, 16:58:58, 16:58:57, 16:58:58, 16:58:58, 16:58:58, 16:58:58, 16:58:58, 1
>> Csmith, 15, checksum = 2AAA47E4, checksum = 2AAA47E4,  * Seed:      2116826935, 127241, 16:58:58, 16:59:01, 16:58:58, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 16:59:01, 1
>> Csmith, 16, , ,  * Seed:      2809763267, 187302, 16:59:01, 16:59:53, 16:59:01, 16:59:02, 16:59:02, 16:59:53, 16:59:02, 16:59:03, 16:59:53, 16:59:53, 16:59:53, 16:59:53, 0
>> Csmith, 17, , ,  * Seed:      4083830081, 146478, 16:59:53, 17:00:45, 16:59:53, 16:59:54, 16:59:54, 17:00:45, 16:59:54, 16:59:55, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 0
>> Csmith, 18, checksum = 10F2F73B, checksum = 10F2F73B,  * Seed:      1330706155, 3079, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 17:00:45, 1
>> Csmith, 19, checksum = 5D398612, checksum = 5D398612,  * Seed:      2230634521, 277984, 17:00:45, 17:00:52, 17:00:45, 17:00:49, 17:00:49, 17:00:52, 17:00:49, 17:00:50, 17:00:50, 17:00:50, 17:00:52, 17:00:52, 1
>> Csmith, 20, checksum = DBF23A7D, checksum = DBF23A7D,  * Seed:      3643568595, 339141, 17:00:52, 17:00:59, 17:00:52, 17:00:57, 17:00:57, 17:00:59, 17:00:57, 17:00:58, 17:00:58, 17:00:58, 17:00:59, 17:00:59, 1
>> Csmith, 21, checksum = 6ECF6677, checksum = 6ECF6677,  * Seed:      3703097206, 136330, 17:00:59, 17:01:00, 17:00:59, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 17:01:00, 1
>> Csmith, 22, checksum = BBA7C061, checksum = BBA7C061,  * Seed:      4054031553, 82185, 17:01:00, 17:01:02, 17:01:00, 17:01:01, 17:01:01, 17:01:02, 17:01:01, 17:01:01, 17:01:01, 17:01:01, 17:01:02, 17:01:02, 1
>> Csmith, 23, , ,  * Seed:      3366577850, 174891, 17:01:02, 17:01:54, 17:01:02, 17:01:04, 17:01:04, 17:01:54, 17:01:04, 17:01:04, 17:01:54, 17:01:54, 17:01:54, 17:01:54, 0
>> Csmith, 24, checksum = DB7FADF, checksum = DB7FADF,  * Seed:      1629645604, 57974, 17:01:54, 17:01:56, 17:01:54, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 17:01:56, 1
>> Csmith, 25, , ,  * Seed:      63609998, 196410, 17:01:56, 17:02:49, 17:01:56, 17:01:59, 17:01:59, 17:02:49, 17:01:59, 17:01:59, 17:02:49, 17:02:49, 17:02:49, 17:02:49, 0
>> Csmith, 26, checksum = CD26A1D3, checksum = CD26A1D3,  * Seed:      4204115954, 233876, 17:02:49, 17:02:52, 17:02:49, 17:02:51, 17:02:51, 17:02:52, 17:02:51, 17:02:52, 17:02:52, 17:02:52, 17:02:52, 17:02:52, 1
>> Csmith, 27, checksum = CA5D117E, checksum = CA5D117E,  * Seed:      893604575, 138812, 17:02:52, 17:02:54, 17:02:52, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 17:02:54, 1
>> Csmith, 28, checksum = 3ED70A0F, checksum = 3ED70A0F,  * Seed:      2545232080, 171919, 17:02:54, 17:02:56, 17:02:54, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 17:02:56, 1
>> Csmith, 29, checksum = 2A896B34, checksum = 2A896B34,  * Seed:      229698032, 59002, 17:02:56, 17:02:57, 17:02:56, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 17:02:57, 1
>> Csmith, 30, checksum = 57A1DF00, checksum = 57A1DF00,  * Seed:      2690979527, 71756, 17:02:57, 17:02:59, 17:02:57, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 17:02:59, 1
>> Csmith, 31, checksum = 8EA7D89A, checksum = 8EA7D89A,  * Seed:      373137408, 143269, 17:02:59, 17:03:02, 17:02:59, 17:03:01, 17:03:01, 17:03:02, 17:03:01, 17:03:01, 17:03:01, 17:03:01, 17:03:02, 17:03:02, 1
>> Csmith, 32, checksum = 5E070441, checksum = 5E070441,  * Seed:      2602060712, 187210, 17:03:02, 17:03:05, 17:03:02, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 17:03:05, 1
>> Csmith, 33, checksum = 744D779, checksum = 744D779,  * Seed:      485221487, 82514, 17:03:05, 17:03:07, 17:03:05, 17:03:06, 17:03:06, 17:03:07, 17:03:06, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 1
>> Csmith, 34, checksum = B8062D6E, checksum = B8062D6E,  * Seed:      1313853199, 4059, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 17:03:07, 1
>> Csmith, 35, checksum = 8155B9CE, checksum = 8155B9CE,  * Seed:      1977564760, 139639, 17:03:07, 17:03:09, 17:03:07, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 17:03:09, 1
>> Csmith, 36, checksum = 26701902, checksum = 26701902,  * Seed:      3851040120, 203192, 17:03:09, 17:03:12, 17:03:09, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 17:03:12, 1
>> Csmith, 37, checksum = 298F13DB, checksum = 298F13DB,  * Seed:      728405682, 132794, 17:03:12, 17:03:17, 17:03:12, 17:03:16, 17:03:16, 17:03:17, 17:03:16, 17:03:16, 17:03:16, 17:03:16, 17:03:17, 17:03:17, 1
>> Csmith, 38, , ,  * Seed:      538082802, 275514, 17:03:17, 17:04:21, 17:03:17, 17:03:30, 17:03:30, 17:04:21, 17:03:30, 17:03:31, 17:04:21, 17:04:21, 17:04:21, 17:04:21, 0
