>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = FBCDF3EC, checksum = FBCDF3EC,  * Seed:      1295240187, 174144, 00:33:24, 00:33:28, 00:33:24, 00:33:27, 00:33:27, 00:33:28, 00:33:27, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 1
>> Csmith, 2, checksum = BB97940B, checksum = BB97940B,  * Seed:      4215944185, 4673, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 00:33:28, 1
>> Csmith, 3, checksum = 7A9CD89C, checksum = 7A9CD89C,  * Seed:      713638782, 135348, 00:33:28, 00:33:30, 00:33:28, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 00:33:30, 1
>> Csmith, 4, checksum = 9098F40D, checksum = 9098F40D,  * Seed:      2758085132, 9549, 00:33:30, 00:33:31, 00:33:30, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 00:33:31, 1
>> Csmith, 5, checksum = A1A6E3A2, checksum = A1A6E3A2,  * Seed:      3640187459, 205473, 00:33:31, 00:33:42, 00:33:31, 00:33:40, 00:33:40, 00:33:42, 00:33:40, 00:33:41, 00:33:41, 00:33:41, 00:33:42, 00:33:42, 1
>> Csmith, 6, checksum = 2D34FFD5, checksum = 2D34FFD5,  * Seed:      2243444214, 185096, 00:33:42, 00:33:47, 00:33:42, 00:33:46, 00:33:46, 00:33:47, 00:33:46, 00:33:46, 00:33:46, 00:33:46, 00:33:47, 00:33:47, 1
>> Csmith, 7, checksum = ACC9FB23, checksum = ACC9FB23,  * Seed:      148431719, 96146, 00:33:47, 00:33:48, 00:33:47, 00:33:47, 00:33:47, 00:33:48, 00:33:47, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 1
>> Csmith, 8, checksum = D2CA6D82, checksum = D2CA6D82,  * Seed:      3903720926, 3739, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 00:33:48, 1
>> Csmith, 9, checksum = EC64D9F7, checksum = EC64D9F7,  * Seed:      427020232, 224953, 00:33:48, 00:33:55, 00:33:48, 00:33:54, 00:33:54, 00:33:55, 00:33:54, 00:33:54, 00:33:54, 00:33:54, 00:33:55, 00:33:55, 1
>> Csmith, 10, checksum = 215AD58E, checksum = 215AD58E,  * Seed:      2855430624, 98461, 00:33:55, 00:34:01, 00:33:55, 00:34:00, 00:34:00, 00:34:01, 00:34:00, 00:34:00, 00:34:00, 00:34:00, 00:34:01, 00:34:01, 1
>> Csmith, 11, , ,  * Seed:      3301857386, 245556, 00:34:01, 00:36:05, 00:34:01, 00:34:04, 00:34:04, 00:36:05, 00:34:04, 00:34:05, 00:36:05, 00:36:05, 00:36:05, 00:36:05, 0
>> Csmith, 12, checksum = 4BF3FAF6, checksum = 4BF3FAF6,  * Seed:      1603036982, 47269, 00:36:05, 00:36:06, 00:36:05, 00:36:05, 00:36:05, 00:36:06, 00:36:05, 00:36:05, 00:36:05, 00:36:05, 00:36:06, 00:36:06, 1
>> Csmith, 13, checksum = F88F0BE5, checksum = F88F0BE5,  * Seed:      118682041, 121572, 00:36:06, 00:36:11, 00:36:06, 00:36:10, 00:36:10, 00:36:11, 00:36:10, 00:36:11, 00:36:11, 00:36:11, 00:36:11, 00:36:11, 1
>> Csmith, 14, , ,  * Seed:      3616987279, 96727, 00:36:11, 00:38:12, 00:36:11, 00:36:12, 00:36:12, 00:38:12, 00:36:12, 00:36:12, 00:38:12, 00:38:12, 00:38:12, 00:38:12, 0
>> Csmith, 15, checksum = A73D0AD7, checksum = A73D0AD7,  * Seed:      1992368457, 135312, 00:38:12, 00:38:15, 00:38:12, 00:38:14, 00:38:14, 00:38:15, 00:38:14, 00:38:14, 00:38:14, 00:38:14, 00:38:15, 00:38:15, 1
