>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = D6EF06E6, checksum = D6EF06E6,  * Seed:      1503531220, 3888, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 1
>> Csmith, 2, checksum = DD505F8F, checksum = DD505F8F,  * Seed:      2388246682, 5457, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 19:40:02, 1
>> Csmith, 3, checksum = 8FE3DF65, checksum = 8FE3DF65,  * Seed:      3133793302, 163073, 19:40:02, 19:40:07, 19:40:02, 19:40:06, 19:40:06, 19:40:07, 19:40:06, 19:40:06, 19:40:06, 19:40:06, 19:40:07, 19:40:07, 1
>> Csmith, 4, checksum = ABCF5F96, checksum = ABCF5F96,  * Seed:      4125132265, 166295, 19:40:07, 19:40:13, 19:40:07, 19:40:11, 19:40:11, 19:40:13, 19:40:11, 19:40:12, 19:40:12, 19:40:12, 19:40:13, 19:40:13, 1
>> Csmith, 5, checksum = 4DA172A8, checksum = 4DA172A8,  * Seed:      356484140, 89431, 19:40:13, 19:40:14, 19:40:13, 19:40:13, 19:40:13, 19:40:14, 19:40:13, 19:40:13, 19:40:13, 19:40:13, 19:40:14, 19:40:14, 1
>> Csmith, 6, checksum = B6C7C4DC, checksum = B6C7C4DC,  * Seed:      3541420049, 3199, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 19:40:14, 1
>> Csmith, 7, checksum = E80EE90B, checksum = E80EE90B,  * Seed:      4170430262, 128168, 19:40:14, 19:40:16, 19:40:14, 19:40:15, 19:40:15, 19:40:16, 19:40:15, 19:40:16, 19:40:16, 19:40:16, 19:40:16, 19:40:16, 1
>> Csmith, 8, checksum = CD6A8531, checksum = CD6A8531,  * Seed:      1329973464, 243328, 19:40:16, 19:40:20, 19:40:16, 19:40:19, 19:40:19, 19:40:20, 19:40:19, 19:40:20, 19:40:20, 19:40:20, 19:40:20, 19:40:20, 1
>> Csmith, 9, checksum = A66C5D10, checksum = A66C5D10,  * Seed:      1174482747, 221234, 19:40:20, 19:40:24, 19:40:20, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 19:40:24, 1
>> Csmith, 10, checksum = 6218852A, checksum = 6218852A,  * Seed:      1053550077, 65080, 19:40:24, 19:40:25, 19:40:24, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 19:40:25, 1
