>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = D8F80BF5, checksum = D8F80BF5,  * Seed:      2646100014, 198274, 18:00:06, 18:00:11, 18:00:06, 18:00:10, 18:00:10, 18:00:11, 18:00:10, 18:00:10, 18:00:10, 18:00:10, 18:00:11, 18:00:11, 1
>> Csmith, 2, checksum = A2EF64F2, checksum = A2EF64F2,  * Seed:      3516977448, 3779, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 18:00:11, 1
>> Csmith, 3, checksum = 7BD1E294, checksum = 7BD1E294,  * Seed:      350930, 111515, 18:00:11, 18:00:15, 18:00:11, 18:00:14, 18:00:14, 18:00:15, 18:00:14, 18:00:14, 18:00:14, 18:00:14, 18:00:15, 18:00:15, 1
>> Csmith, 4, checksum = 955A14C3, checksum = 955A14C3,  * Seed:      1033378410, 281163, 18:00:15, 18:00:23, 18:00:15, 18:00:21, 18:00:21, 18:00:23, 18:00:21, 18:00:22, 18:00:22, 18:00:22, 18:00:23, 18:00:23, 1
>> Csmith, 5, checksum = 5237D4E3, checksum = 5237D4E3,  * Seed:      782604003, 4152, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 18:00:23, 1
>> Csmith, 6, checksum = 99D82878, checksum = 99D82878,  * Seed:      1554440883, 75227, 18:00:23, 18:00:25, 18:00:23, 18:00:24, 18:00:24, 18:00:25, 18:00:24, 18:00:25, 18:00:25, 18:00:25, 18:00:25, 18:00:25, 1
>> Csmith, 7, checksum = B82CF70E, checksum = B82CF70E,  * Seed:      1629874430, 42871, 18:00:25, 18:00:26, 18:00:25, 18:00:25, 18:00:25, 18:00:26, 18:00:25, 18:00:25, 18:00:25, 18:00:25, 18:00:26, 18:00:26, 1
>> Csmith, 8, checksum = D66A0685, checksum = D66A0685,  * Seed:      3710704859, 218852, 18:00:26, 18:00:29, 18:00:26, 18:00:28, 18:00:28, 18:00:29, 18:00:28, 18:00:29, 18:00:29, 18:00:29, 18:00:29, 18:00:29, 1
>> Csmith, 9, checksum = 97EBF960, checksum = 97EBF960,  * Seed:      1346739869, 223745, 18:00:29, 18:00:33, 18:00:29, 18:00:32, 18:00:32, 18:00:33, 18:00:32, 18:00:32, 18:00:32, 18:00:32, 18:00:33, 18:00:33, 1
>> Csmith, 10, checksum = A787394F, checksum = A787394F,  * Seed:      4112961429, 157029, 18:00:33, 18:00:35, 18:00:33, 18:00:34, 18:00:34, 18:00:35, 18:00:34, 18:00:35, 18:00:35, 18:00:35, 18:00:35, 18:00:35, 1
>> Csmith, 11, checksum = 58ABB3BB, checksum = 58ABB3BB,  * Seed:      2912284711, 151799, 18:00:35, 18:00:39, 18:00:35, 18:00:38, 18:00:38, 18:00:39, 18:00:38, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 1
>> Csmith, 12, checksum = DB7A8B2B, checksum = DB7A8B2B,  * Seed:      1213110115, 3159, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 18:00:39, 1
>> Csmith, 13, , ,  * Seed:      1863312037, 136835, 18:00:39, 18:02:41, 18:00:39, 18:00:40, 18:00:40, 18:02:41, 18:00:40, 18:00:41, 18:02:41, 18:02:41, 18:02:41, 18:02:41, 0
>> Csmith, 14, checksum = FE17C6DE, checksum = FE17C6DE,  * Seed:      1442279652, 153762, 18:02:41, 18:02:43, 18:02:41, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 18:02:43, 1
>> Csmith, 15, checksum = BF29363D, checksum = BF29363D,  * Seed:      492560731, 93982, 18:02:43, 18:02:45, 18:02:43, 18:02:44, 18:02:44, 18:02:45, 18:02:44, 18:02:44, 18:02:44, 18:02:44, 18:02:45, 18:02:45, 1
>> Csmith, 16, checksum = 99E7578D, checksum = 99E7578D,  * Seed:      210988068, 108469, 18:02:45, 18:02:47, 18:02:45, 18:02:46, 18:02:46, 18:02:47, 18:02:46, 18:02:47, 18:02:47, 18:02:47, 18:02:47, 18:02:47, 1
>> Csmith, 17, checksum = 6B760A2, checksum = 6B760A2,  * Seed:      2611179704, 73420, 18:02:47, 18:02:48, 18:02:47, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 18:02:48, 1
>> Csmith, 18, checksum = 3BC6D3B7, checksum = 3BC6D3B7,  * Seed:      2661867958, 197499, 18:02:48, 18:03:04, 18:02:48, 18:03:02, 18:03:02, 18:03:04, 18:03:02, 18:03:03, 18:03:03, 18:03:03, 18:03:04, 18:03:04, 1
>> Csmith, 19, checksum = 6522DF69, checksum = 6522DF69,  * Seed:      1137334778, 2605, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 18:03:04, 1
>> Csmith, 20, checksum = 670F14B8, checksum = 670F14B8,  * Seed:      1781301134, 151301, 18:03:04, 18:03:06, 18:03:04, 18:03:05, 18:03:05, 18:03:06, 18:03:05, 18:03:06, 18:03:06, 18:03:06, 18:03:06, 18:03:06, 1
>> Csmith, 21, checksum = A67EB1C8, checksum = A67EB1C8,  * Seed:      4038963607, 109250, 18:03:06, 18:03:08, 18:03:06, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 18:03:08, 1
>> Csmith, 22, checksum = 3382B8B0, checksum = 3382B8B0,  * Seed:      1377246443, 146076, 18:03:08, 18:03:14, 18:03:08, 18:03:13, 18:03:13, 18:03:14, 18:03:13, 18:03:13, 18:03:13, 18:03:13, 18:03:14, 18:03:14, 1
>> Csmith, 23, , ,  * Seed:      1458658999, 274792, 18:03:14, 18:05:16, 18:03:14, 18:03:16, 18:03:16, 18:05:16, 18:03:16, 18:03:16, 18:05:16, 18:05:16, 18:05:16, 18:05:16, 0
>> Csmith, 24, checksum = 1123B828, checksum = 1123B828,  * Seed:      3855188619, 186987, 18:05:16, 18:05:20, 18:05:16, 18:05:19, 18:05:19, 18:05:20, 18:05:19, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 1
>> Csmith, 25, checksum = 543B9331, checksum = 543B9331,  * Seed:      2810286150, 2285, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 18:05:20, 1
>> Csmith, 26, checksum = 6FF5C00A, checksum = 6FF5C00A,  * Seed:      3509404008, 163645, 18:05:20, 18:05:24, 18:05:20, 18:05:23, 18:05:23, 18:05:24, 18:05:23, 18:05:23, 18:05:23, 18:05:23, 18:05:24, 18:05:24, 1
