>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, , ,  * Seed:      2753943200, 237735, 21:31:55, 21:34:02, 21:31:55, 21:32:01, 21:32:01, 21:34:02, 21:32:01, 21:32:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 0
>> Csmith, 2, checksum = B8477F23, checksum = B8477F23,  * Seed:      3581860903, 3686, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 21:34:02, 1
>> Csmith, 3, checksum = 5B009084, checksum = 5B009084,  * Seed:      125485248, 65217, 21:34:02, 21:34:04, 21:34:02, 21:34:03, 21:34:03, 21:34:04, 21:34:03, 21:34:03, 21:34:03, 21:34:03, 21:34:04, 21:34:04, 1
>> Csmith, 4, checksum = 8F32835D, checksum = 8F32835D,  * Seed:      3949823082, 288936, 21:34:04, 21:34:10, 21:34:04, 21:34:07, 21:34:07, 21:34:10, 21:34:07, 21:34:08, 21:34:08, 21:34:08, 21:34:10, 21:34:10, 1
>> Csmith, 5, checksum = B327FC3F, checksum = B327FC3F,  * Seed:      989810830, 162033, 21:34:10, 21:34:12, 21:34:10, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 21:34:12, 1
>> Csmith, 6, checksum = 93DAC6B, checksum = 93DAC6B,  * Seed:      261679901, 164608, 21:34:12, 21:34:16, 21:34:12, 21:34:15, 21:34:15, 21:34:16, 21:34:15, 21:34:16, 21:34:16, 21:34:16, 21:34:16, 21:34:16, 1
>> Csmith, 7, , ,  * Seed:      3776668128, 114505, 21:34:16, 21:36:18, 21:34:16, 21:34:18, 21:34:18, 21:36:18, 21:34:18, 21:34:18, 21:36:18, 21:36:18, 21:36:18, 21:36:18, 0
>> Csmith, 8, checksum = B940C8D, checksum = B940C8D,  * Seed:      3448436915, 125553, 21:36:18, 21:36:20, 21:36:18, 21:36:19, 21:36:19, 21:36:20, 21:36:19, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 1
>> Csmith, 9, checksum = 6571A922, checksum = 6571A922,  * Seed:      934092342, 3480, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 21:36:20, 1
>> Csmith, 10, checksum = 9466D1C7, checksum = 9466D1C7,  * Seed:      1583055633, 134464, 21:36:20, 21:36:23, 21:36:20, 21:36:22, 21:36:22, 21:36:23, 21:36:22, 21:36:23, 21:36:23, 21:36:23, 21:36:23, 21:36:23, 1
>> Csmith, 11, checksum = B55460C4, checksum = B55460C4,  * Seed:      1179658708, 156769, 21:36:23, 21:36:25, 21:36:23, 21:36:24, 21:36:24, 21:36:25, 21:36:24, 21:36:24, 21:36:24, 21:36:24, 21:36:25, 21:36:25, 1
>> Csmith, 12, checksum = DD605997, checksum = DD605997,  * Seed:      2128959912, 141206, 21:36:25, 21:36:27, 21:36:25, 21:36:26, 21:36:26, 21:36:27, 21:36:26, 21:36:27, 21:36:27, 21:36:27, 21:36:27, 21:36:27, 1
>> Csmith, 13, checksum = 61443AA4, checksum = 61443AA4,  * Seed:      1291689157, 56882, 21:36:27, 21:36:28, 21:36:27, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 21:36:28, 1
>> Csmith, 14, checksum = A6E625D3, checksum = A6E625D3,  * Seed:      3707410177, 151248, 21:36:28, 21:36:30, 21:36:28, 21:36:29, 21:36:29, 21:36:30, 21:36:29, 21:36:30, 21:36:30, 21:36:30, 21:36:30, 21:36:30, 1
