>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = 0, checksum = 0,  * Seed:      3347888238, 2332, 19:29:27, 19:29:33, 19:29:27, 19:29:27, 19:29:27, 19:29:33, 19:29:27, 19:29:33, 19:29:33, 19:29:33, 19:29:33, 19:29:33, 1
>> Csmith, 2, , ,  * Seed:      242802982, 93667, 19:29:33, 19:31:35, 19:29:33, 19:29:34, 19:29:34, 19:31:35, 19:29:34, 19:29:35, 19:31:35, 19:31:35, 19:31:35, 19:31:35, 0
>> Csmith, 3, checksum = BFA8CCE6, checksum = BFA8CCE6,  * Seed:      20535597, 183486, 19:31:35, 19:31:38, 19:31:35, 19:31:37, 19:31:37, 19:31:38, 19:31:37, 19:31:38, 19:31:38, 19:31:38, 19:31:38, 19:31:38, 1
>> Csmith, 4, checksum = C0FEEC4E, checksum = C0FEEC4E,  * Seed:      4264098689, 182058, 19:31:38, 19:31:43, 19:31:38, 19:31:42, 19:31:42, 19:31:43, 19:31:42, 19:31:42, 19:31:42, 19:31:42, 19:31:43, 19:31:43, 1
>> Csmith, 5, checksum = D201D20A, checksum = D201D20A,  * Seed:      2200635856, 286214, 19:31:43, 19:31:52, 19:31:43, 19:31:50, 19:31:50, 19:31:52, 19:31:50, 19:31:51, 19:31:51, 19:31:51, 19:31:52, 19:31:52, 1
>> Csmith, 6, checksum = 12AF97E5, checksum = 12AF97E5,  * Seed:      253141161, 2567, 19:31:52, 19:31:53, 19:31:52, 19:31:52, 19:31:52, 19:31:53, 19:31:52, 19:31:52, 19:31:52, 19:31:52, 19:31:53, 19:31:53, 1
>> Csmith, 7, checksum = 841FED13, checksum = 841FED13,  * Seed:      861970374, 97536, 19:31:53, 19:31:54, 19:31:53, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 19:31:54, 1
>> Csmith, 8, checksum = 0, checksum = 0,  * Seed:      2434564085, 2307, 19:31:54, 19:31:55, 19:31:54, 19:31:54, 19:31:54, 19:31:55, 19:31:54, 19:31:55, 19:31:55, 19:31:55, 19:31:55, 19:31:55, 1
>> Csmith, 9, checksum = FBBB989B, checksum = FBBB989B,  * Seed:      2963525738, 109737, 19:31:55, 19:31:56, 19:31:55, 19:31:55, 19:31:55, 19:31:56, 19:31:55, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 1
>> Csmith, 10, checksum = FCF03556, checksum = FCF03556,  * Seed:      2774909209, 5871, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 19:31:56, 1
>> Csmith, 11, checksum = C117AFD6, checksum = C117AFD6,  * Seed:      3437686606, 97797, 19:31:56, 19:31:59, 19:31:56, 19:31:58, 19:31:58, 19:31:59, 19:31:58, 19:31:58, 19:31:58, 19:31:58, 19:31:59, 19:31:59, 1
>> Csmith, 12, checksum = 98B45656, checksum = 98B45656,  * Seed:      1913840387, 49506, 19:31:59, 19:32:02, 19:31:59, 19:32:01, 19:32:01, 19:32:02, 19:32:01, 19:32:01, 19:32:01, 19:32:01, 19:32:02, 19:32:02, 1
>> Csmith, 13, checksum = DF7EEC9, checksum = DF7EEC9,  * Seed:      2611196931, 123944, 19:32:02, 19:32:04, 19:32:02, 19:32:03, 19:32:03, 19:32:04, 19:32:03, 19:32:03, 19:32:03, 19:32:03, 19:32:04, 19:32:04, 1
>> Csmith, 14, checksum = D6BDFB4, checksum = D6BDFB4,  * Seed:      3956543549, 143190, 19:32:04, 19:32:06, 19:32:04, 19:32:05, 19:32:05, 19:32:06, 19:32:05, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 1
>> Csmith, 15, checksum = A9067C6, checksum = A9067C6,  * Seed:      2569473333, 2305, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 19:32:06, 1
>> Csmith, 16, checksum = 1A9152F7, checksum = 1A9152F7,  * Seed:      3501202332, 144956, 19:32:06, 19:32:09, 19:32:06, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 19:32:09, 1
>> Csmith, 17, checksum = E350EA14, checksum = E350EA14,  * Seed:      89137113, 87588, 19:32:09, 19:32:12, 19:32:09, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 19:32:12, 1
>> Csmith, 18, checksum = 1FFDB654, checksum = 1FFDB654,  * Seed:      4007199686, 102768, 19:32:12, 19:32:15, 19:32:12, 19:32:14, 19:32:14, 19:32:15, 19:32:14, 19:32:15, 19:32:15, 19:32:15, 19:32:15, 19:32:15, 1
>> Csmith, 19, , ,  * Seed:      4030725786, 104963, 19:32:15, 19:34:18, 19:32:15, 19:32:18, 19:32:18, 19:34:18, 19:32:18, 19:32:18, 19:34:18, 19:34:18, 19:34:18, 19:34:18, 0
>> Csmith, 20, checksum = 7F0CBE58, checksum = 7F0CBE58,  * Seed:      3333183745, 47788, 19:34:18, 19:34:19, 19:34:18, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 19:34:19, 1
>> Csmith, 21, checksum = 1245920D, checksum = 1245920D,  * Seed:      2318102082, 221024, 19:34:19, 19:34:26, 19:34:19, 19:34:25, 19:34:25, 19:34:26, 19:34:25, 19:34:25, 19:34:25, 19:34:25, 19:34:26, 19:34:26, 1
>> Csmith, 22, checksum = EFDADCC9, checksum = EFDADCC9,  * Seed:      2397136927, 256050, 19:34:26, 19:34:30, 19:34:26, 19:34:29, 19:34:29, 19:34:30, 19:34:29, 19:34:29, 19:34:29, 19:34:29, 19:34:30, 19:34:30, 1
>> Csmith, 23, checksum = 2233884F, checksum = 2233884F,  * Seed:      1514467960, 134153, 19:34:30, 19:34:36, 19:34:30, 19:34:35, 19:34:35, 19:34:36, 19:34:35, 19:34:36, 19:34:36, 19:34:36, 19:34:36, 19:34:36, 1
>> Csmith, 24, checksum = 921F8BA1, checksum = 921F8BA1,  * Seed:      1247729529, 251868, 19:34:36, 19:34:40, 19:34:36, 19:34:39, 19:34:39, 19:34:40, 19:34:39, 19:34:39, 19:34:39, 19:34:39, 19:34:40, 19:34:40, 1
>> Csmith, 25, checksum = C908D20D, checksum = C908D20D,  * Seed:      781729173, 156096, 19:34:40, 19:34:45, 19:34:40, 19:34:44, 19:34:44, 19:34:45, 19:34:44, 19:34:44, 19:34:44, 19:34:44, 19:34:45, 19:34:45, 1
>> Csmith, 26, checksum = 410CA1FF, checksum = 410CA1FF,  * Seed:      1595374110, 378059, 19:34:45, 19:34:56, 19:34:45, 19:34:54, 19:34:54, 19:34:56, 19:34:54, 19:34:55, 19:34:55, 19:34:55, 19:34:56, 19:34:56, 1
>> Csmith, 27, checksum = 3CCC5952, checksum = 3CCC5952,  * Seed:      413008042, 227157, 19:34:56, 19:35:04, 19:34:56, 19:35:02, 19:35:02, 19:35:04, 19:35:02, 19:35:03, 19:35:03, 19:35:03, 19:35:04, 19:35:04, 1
>> Csmith, 28, , ,  * Seed:      2801290160, 180299, 19:35:04, 19:37:07, 19:35:04, 19:35:06, 19:35:06, 19:37:07, 19:35:06, 19:35:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 0
>> Csmith, 29, checksum = B6C55FE3, checksum = B6C55FE3,  * Seed:      2654168301, 82420, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 1
>> Csmith, 30, checksum = 724C79CB, checksum = 724C79CB,  * Seed:      504988940, 6066, 19:37:07, 19:37:08, 19:37:07, 19:37:07, 19:37:07, 19:37:08, 19:37:07, 19:37:07, 19:37:07, 19:37:07, 19:37:08, 19:37:08, 1
>> Csmith, 31, checksum = 8C5AD7C4, checksum = 8C5AD7C4,  * Seed:      1092162866, 97616, 19:37:08, 19:37:09, 19:37:08, 19:37:08, 19:37:08, 19:37:09, 19:37:08, 19:37:09, 19:37:09, 19:37:09, 19:37:09, 19:37:09, 1
>> Csmith, 32, checksum = D7FD404A, checksum = D7FD404A,  * Seed:      721855135, 169659, 19:37:09, 19:37:11, 19:37:09, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 19:37:11, 1
>> Csmith, 33, checksum = 0, checksum = 0,  * Seed:      4053941706, 2217, 19:37:11, 19:37:12, 19:37:11, 19:37:11, 19:37:11, 19:37:12, 19:37:11, 19:37:12, 19:37:12, 19:37:12, 19:37:12, 19:37:12, 1
>> Csmith, 34, checksum = A55EFA6F, checksum = A55EFA6F,  * Seed:      258128888, 43976, 19:37:12, 19:37:13, 19:37:12, 19:37:12, 19:37:12, 19:37:13, 19:37:12, 19:37:12, 19:37:12, 19:37:12, 19:37:12, 19:37:13, 1
>> Csmith, 35, , ,  * Seed:      3014497727, 186166, 19:37:13, 19:39:16, 19:37:13, 19:37:15, 19:37:15, 19:39:16, 19:37:15, 19:37:16, 19:39:16, 19:39:16, 19:39:16, 19:39:16, 0
>> Csmith, 36, checksum = A98D5A5D, checksum = A98D5A5D,  * Seed:      3325587369, 114058, 19:39:16, 19:39:18, 19:39:16, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 19:39:18, 1
>> Csmith, 37, checksum = 17A335ED, checksum = 17A335ED,  * Seed:      2148731599, 45385, 19:39:18, 19:39:20, 19:39:18, 19:39:19, 19:39:19, 19:39:20, 19:39:19, 19:39:19, 19:39:19, 19:39:19, 19:39:20, 19:39:20, 1
>> Csmith, 38, checksum = C5CBBD6D, checksum = C5CBBD6D,  * Seed:      2163552825, 106730, 19:39:20, 19:39:22, 19:39:20, 19:39:21, 19:39:21, 19:39:22, 19:39:21, 19:39:21, 19:39:21, 19:39:21, 19:39:22, 19:39:22, 1
>> Csmith, 39, checksum = 3EC610D3, checksum = 3EC610D3,  * Seed:      4116471830, 215187, 19:39:22, 19:39:25, 19:39:22, 19:39:24, 19:39:24, 19:39:25, 19:39:24, 19:39:24, 19:39:24, 19:39:24, 19:39:25, 19:39:25, 1
>> Csmith, 40, checksum = 672C3478, checksum = 672C3478,  * Seed:      18214178, 169175, 19:39:25, 19:39:27, 19:39:25, 19:39:26, 19:39:26, 19:39:27, 19:39:26, 19:39:26, 19:39:26, 19:39:26, 19:39:27, 19:39:27, 1
>> Csmith, 41, checksum = C696FB0B, checksum = C696FB0B,  * Seed:      2662970428, 4022, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 19:39:27, 1
