>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = 8310961F, checksum = 8310961F,  * Seed:      1592019703, 51416, 11:08:59, 11:09:00, 11:08:59, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 11:09:00, 1
>> Csmith, 2, checksum = F1338946, checksum = F1338946,  * Seed:      935917155, 136630, 11:09:00, 11:09:02, 11:09:00, 11:09:01, 11:09:01, 11:09:02, 11:09:01, 11:09:02, 11:09:02, 11:09:02, 11:09:02, 11:09:02, 1
>> Csmith, 3, checksum = 5C8CA80E, checksum = 5C8CA80E,  * Seed:      2578342643, 190154, 11:09:02, 11:09:08, 11:09:02, 11:09:07, 11:09:07, 11:09:08, 11:09:07, 11:09:08, 11:09:08, 11:09:08, 11:09:08, 11:09:08, 1
>> Csmith, 4, , ,  * Seed:      3588803968, 137195, 11:09:08, 11:11:12, 11:09:08, 11:09:11, 11:09:11, 11:11:12, 11:09:11, 11:09:11, 11:11:12, 11:11:12, 11:11:12, 11:11:12, 0
>> Csmith, 5, checksum = C7DE8FD8, checksum = C7DE8FD8,  * Seed:      391612249, 308200, 11:11:12, 11:11:23, 11:11:12, 11:11:20, 11:11:20, 11:11:23, 11:11:20, 11:11:21, 11:11:21, 11:11:21, 11:11:22, 11:11:23, 1
>> Csmith, 6, checksum = B5BCBB3B, checksum = B5BCBB3B,  * Seed:      2917438668, 194362, 11:11:23, 11:11:27, 11:11:23, 11:11:26, 11:11:26, 11:11:27, 11:11:26, 11:11:26, 11:11:26, 11:11:26, 11:11:27, 11:11:27, 1
>> Csmith, 7, , ,  * Seed:      2654584416, 157847, 11:11:27, 11:13:29, 11:11:27, 11:11:28, 11:11:28, 11:13:29, 11:11:28, 11:11:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 0
>> Csmith, 8, checksum = 48E8C01E, checksum = 48E8C01E,  * Seed:      3577682336, 4126, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 11:13:29, 1
>> Csmith, 9, checksum = 8D8FA942, checksum = 8D8FA942,  * Seed:      152210128, 180848, 11:13:29, 11:13:35, 11:13:29, 11:13:34, 11:13:34, 11:13:35, 11:13:34, 11:13:35, 11:13:35, 11:13:35, 11:13:35, 11:13:35, 1
>> Csmith, 10, , ,  * Seed:      634855791, 204540, 11:13:35, 11:15:38, 11:13:35, 11:13:37, 11:13:37, 11:15:38, 11:13:37, 11:13:38, 11:15:38, 11:15:38, 11:15:38, 11:15:38, 0
>> Csmith, 11, checksum = CEC46180, checksum = CEC46180,  * Seed:      259807681, 55517, 11:15:38, 11:15:39, 11:15:38, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 11:15:39, 1
>> Csmith, 12, checksum = 2DC2D10D, checksum = 2DC2D10D,  * Seed:      336183051, 3350, 11:15:39, 11:15:40, 11:15:39, 11:15:39, 11:15:39, 11:15:40, 11:15:39, 11:15:40, 11:15:40, 11:15:40, 11:15:40, 11:15:40, 1
