>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = 88862D83, checksum = 88862D83,  * Seed:      3132490544, 226657, 19:29:19, 19:29:34, 19:29:19, 19:29:26, 19:29:26, 19:29:34, 19:29:26, 19:29:32, 19:29:32, 19:29:32, 19:29:34, 19:29:34, 1
>> Csmith, 2, checksum = 5B0AE15E, checksum = 5B0AE15E,  * Seed:      3968454436, 225493, 19:29:34, 19:29:37, 19:29:34, 19:29:36, 19:29:36, 19:29:37, 19:29:36, 19:29:37, 19:29:37, 19:29:37, 19:29:37, 19:29:37, 1
>> Csmith, 3, checksum = E12C7ED8, checksum = E12C7ED8,  * Seed:      1129278055, 70446, 19:29:37, 19:29:39, 19:29:37, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 19:29:39, 1
>> Csmith, 4, checksum = D605142F, checksum = D605142F,  * Seed:      2350866381, 110306, 19:29:39, 19:29:41, 19:29:39, 19:29:40, 19:29:40, 19:29:41, 19:29:40, 19:29:41, 19:29:41, 19:29:41, 19:29:41, 19:29:41, 1
>> Csmith, 5, checksum = 73A1BF59, checksum = 73A1BF59,  * Seed:      3832708811, 203525, 19:29:41, 19:29:48, 19:29:41, 19:29:46, 19:29:46, 19:29:48, 19:29:46, 19:29:47, 19:29:47, 19:29:47, 19:29:48, 19:29:48, 1
>> Csmith, 6, , ,  * Seed:      535046375, 190462, 19:29:48, 19:30:41, 19:29:48, 19:29:50, 19:29:50, 19:30:41, 19:29:50, 19:29:51, 19:30:41, 19:30:41, 19:30:41, 19:30:41, 0
>> Csmith, 7, checksum = 863D75DA, checksum = 863D75DA,  * Seed:      495564280, 171348, 19:30:41, 19:30:46, 19:30:41, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 19:30:46, 1
>> Csmith, 8, checksum = A647AE6C, checksum = A647AE6C,  * Seed:      2352961315, 160409, 19:30:46, 19:30:53, 19:30:46, 19:30:51, 19:30:51, 19:30:53, 19:30:51, 19:30:52, 19:30:52, 19:30:52, 19:30:53, 19:30:53, 1
>> Csmith, 9, checksum = 3284B54B, checksum = 3284B54B,  * Seed:      4174462380, 163850, 19:30:53, 19:30:58, 19:30:53, 19:30:57, 19:30:57, 19:30:58, 19:30:57, 19:30:57, 19:30:57, 19:30:57, 19:30:58, 19:30:58, 1
>> Csmith, 10, checksum = D622CB0, checksum = D622CB0,  * Seed:      3186955118, 3921, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 19:30:58, 1
>> Csmith, 11, checksum = 581E9DCC, checksum = 581E9DCC,  * Seed:      3911234273, 82920, 19:30:58, 19:30:59, 19:30:58, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 19:30:59, 1
>> Csmith, 12, checksum = 428D4CD4, checksum = 428D4CD4,  * Seed:      3199142929, 145238, 19:30:59, 19:31:05, 19:30:59, 19:31:04, 19:31:04, 19:31:05, 19:31:04, 19:31:04, 19:31:04, 19:31:04, 19:31:05, 19:31:05, 1
>> Csmith, 13, checksum = B4A554BC, checksum = B4A554BC,  * Seed:      1621606911, 250784, 19:31:05, 19:31:14, 19:31:05, 19:31:12, 19:31:12, 19:31:14, 19:31:12, 19:31:13, 19:31:13, 19:31:13, 19:31:14, 19:31:14, 1
>> Csmith, 14, checksum = 27B7ED49, checksum = 27B7ED49,  * Seed:      2640226470, 97343, 19:31:14, 19:31:15, 19:31:14, 19:31:14, 19:31:14, 19:31:15, 19:31:14, 19:31:15, 19:31:15, 19:31:15, 19:31:15, 19:31:15, 1
