>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = 608B1EAA, checksum = 608B1EAA,  * Seed:      3865401258, 233436, 11:41:05, 11:41:11, 11:41:05, 11:41:10, 11:41:10, 11:41:11, 11:41:10, 11:41:11, 11:41:11, 11:41:11, 11:41:11, 11:41:11, 1
>> Csmith, 2, checksum = 5F7E4C74, checksum = 5F7E4C74,  * Seed:      472884271, 143398, 11:41:11, 11:41:14, 11:41:11, 11:41:13, 11:41:13, 11:41:14, 11:41:13, 11:41:13, 11:41:13, 11:41:13, 11:41:14, 11:41:14, 1
>> Csmith, 3, checksum = F196AC99, checksum = F196AC99,  * Seed:      3900365265, 118610, 11:41:14, 11:41:16, 11:41:14, 11:41:15, 11:41:15, 11:41:16, 11:41:15, 11:41:15, 11:41:15, 11:41:15, 11:41:16, 11:41:16, 1
>> Csmith, 4, checksum = 2A70F2BD, checksum = 2A70F2BD,  * Seed:      1351129384, 163824, 11:41:16, 11:41:19, 11:41:16, 11:41:18, 11:41:18, 11:41:19, 11:41:18, 11:41:18, 11:41:18, 11:41:18, 11:41:19, 11:41:19, 1
>> Csmith, 5, checksum = 86DB9FC4, checksum = 86DB9FC4,  * Seed:      1492313882, 165369, 11:41:19, 11:41:21, 11:41:19, 11:41:20, 11:41:20, 11:41:21, 11:41:20, 11:41:20, 11:41:20, 11:41:20, 11:41:21, 11:41:21, 1
>> Csmith, 6, checksum = 0, checksum = 0,  * Seed:      3475944223, 2332, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 11:41:21, 1
>> Csmith, 7, checksum = F096363D, checksum = F096363D,  * Seed:      3987519898, 173006, 11:41:21, 11:41:26, 11:41:21, 11:41:25, 11:41:25, 11:41:26, 11:41:25, 11:41:26, 11:41:26, 11:41:26, 11:41:26, 11:41:26, 1
>> Csmith, 8, checksum = 8EDC07CD, checksum = 8EDC07CD,  * Seed:      2810234568, 77850, 11:41:26, 11:41:27, 11:41:26, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 11:41:27, 1
>> Csmith, 9, , ,  * Seed:      2109306098, 95232, 11:41:27, 11:43:31, 11:41:27, 11:41:30, 11:41:30, 11:43:31, 11:41:30, 11:41:30, 11:43:31, 11:43:31, 11:43:31, 11:43:31, 1
>> Csmith, 10, checksum = 95252951, checksum = 95252951,  * Seed:      2879102100, 250332, 11:43:31, 11:43:39, 11:43:31, 11:43:38, 11:43:38, 11:43:39, 11:43:38, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 1
>> Csmith, 11, checksum = 5DFFEE37, checksum = 5DFFEE37,  * Seed:      2192775294, 3352, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 11:43:39, 1
>> Csmith, 12, checksum = 5F453D21, checksum = 5F453D21,  * Seed:      2809431477, 189683, 11:43:39, 11:43:43, 11:43:39, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 11:43:43, 1
>> Csmith, 13, checksum = 65E2F266, checksum = 65E2F266,  * Seed:      1518094026, 138706, 11:43:43, 11:43:45, 11:43:43, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 11:43:45, 1
>> Csmith, 14, , ,  * Seed:      2817242633, 179515, 11:43:45, 11:45:48, 11:43:45, 11:43:47, 11:43:47, 11:45:48, 11:43:47, 11:43:48, 11:45:48, 11:45:48, 11:45:48, 11:45:48, 0
>> Csmith, 15, checksum = FCF3290C, checksum = FCF3290C,  * Seed:      2442575907, 128518, 11:45:48, 11:45:52, 11:45:48, 11:45:51, 11:45:51, 11:45:52, 11:45:51, 11:45:52, 11:45:52, 11:45:52, 11:45:52, 11:45:52, 1
>> Csmith, 16, checksum = 3BEE530, checksum = 3BEE530,  * Seed:      2350545969, 142474, 11:45:52, 11:45:54, 11:45:52, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 11:45:54, 1
>> Csmith, 17, checksum = 4530BD7A, checksum = 4530BD7A,  * Seed:      4258128467, 2515, 11:45:54, 11:45:55, 11:45:54, 11:45:54, 11:45:54, 11:45:55, 11:45:54, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 1
>> Csmith, 18, checksum = 9BE217D0, checksum = 9BE217D0,  * Seed:      777357097, 3956, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 11:45:55, 1
>> Csmith, 19, checksum = 1E1ECE62, checksum = 1E1ECE62,  * Seed:      2894649370, 114049, 11:45:55, 11:45:58, 11:45:55, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 11:45:58, 1
>> Csmith, 20, checksum = 8B737269, checksum = 8B737269,  * Seed:      3191706767, 178497, 11:45:58, 11:46:02, 11:45:58, 11:46:01, 11:46:01, 11:46:02, 11:46:01, 11:46:02, 11:46:02, 11:46:02, 11:46:02, 11:46:02, 1
>> Csmith, 21, checksum = 9A7773B0, checksum = 9A7773B0,  * Seed:      1678599395, 120908, 11:46:02, 11:46:04, 11:46:02, 11:46:03, 11:46:03, 11:46:04, 11:46:03, 11:46:03, 11:46:03, 11:46:03, 11:46:04, 11:46:04, 1
>> Csmith, 22, checksum = F029588B, checksum = F029588B,  * Seed:      2075908591, 186144, 11:46:04, 11:46:09, 11:46:04, 11:46:08, 11:46:08, 11:46:09, 11:46:08, 11:46:09, 11:46:09, 11:46:09, 11:46:09, 11:46:09, 1
>> Csmith, 23, checksum = 6E477579, checksum = 6E477579,  * Seed:      541102245, 110219, 11:46:09, 11:46:12, 11:46:09, 11:46:11, 11:46:11, 11:46:12, 11:46:11, 11:46:11, 11:46:11, 11:46:11, 11:46:12, 11:46:12, 1
>> Csmith, 24, , ,  * Seed:      3990362048, 146823, 11:46:12, 11:48:15, 11:46:12, 11:46:15, 11:46:15, 11:48:15, 11:46:15, 11:46:15, 11:48:15, 11:48:15, 11:48:15, 11:48:15, 0
>> Csmith, 25, checksum = 32F8315C, checksum = 32F8315C,  * Seed:      685490219, 74614, 11:48:15, 11:48:17, 11:48:15, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 11:48:17, 1
>> Csmith, 26, checksum = 372C9E31, checksum = 372C9E31,  * Seed:      3267695329, 94958, 11:48:17, 11:48:19, 11:48:17, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 11:48:19, 1
>> Csmith, 27, , ,  * Seed:      4043661081, 80850, 11:48:19, 11:50:20, 11:48:19, 11:48:19, 11:48:19, 11:50:20, 11:48:19, 11:48:20, 11:50:20, 11:50:20, 11:50:20, 11:50:20, 0
>> Csmith, 28, checksum = B0903791, checksum = B0903791,  * Seed:      1743143750, 142545, 11:50:20, 11:50:27, 11:50:20, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 11:50:27, 1
>> Csmith, 29, checksum = 46D5ABC0, checksum = 46D5ABC0,  * Seed:      2747897367, 84459, 11:50:27, 11:50:29, 11:50:27, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 1
>> Csmith, 30, checksum = F0242F20, checksum = F0242F20,  * Seed:      3687745775, 3592, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 11:50:29, 1
>> Csmith, 31, checksum = 4C6F4ECD, checksum = 4C6F4ECD,  * Seed:      13337755, 74795, 11:50:29, 11:50:32, 11:50:29, 11:50:31, 11:50:31, 11:50:32, 11:50:31, 11:50:31, 11:50:31, 11:50:31, 11:50:32, 11:50:32, 1
>> Csmith, 32, checksum = 1AD43F5E, checksum = 1AD43F5E,  * Seed:      2137652475, 3498, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 11:50:32, 1
>> Csmith, 33, checksum = 9316C8FE, checksum = 9316C8FE,  * Seed:      2786637249, 140708, 11:50:32, 11:50:36, 11:50:32, 11:50:35, 11:50:35, 11:50:36, 11:50:35, 11:50:35, 11:50:35, 11:50:35, 11:50:36, 11:50:36, 1
>> Csmith, 34, checksum = 5CECCECF, checksum = 5CECCECF,  * Seed:      2336165940, 104858, 11:50:36, 11:50:37, 11:50:36, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 11:50:37, 1
>> Csmith, 35, checksum = 72560345, checksum = 72560345,  * Seed:      1943508245, 124840, 11:50:37, 11:50:39, 11:50:37, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 11:50:39, 1
>> Csmith, 36, checksum = 40E74D2A, checksum = 40E74D2A,  * Seed:      3740164369, 214885, 11:50:39, 11:50:43, 11:50:39, 11:50:42, 11:50:42, 11:50:43, 11:50:42, 11:50:43, 11:50:43, 11:50:43, 11:50:43, 11:50:43, 1
